timestamp,user_id,event_origin,event_name,event_goods_id,event_shop_id
2019-09-22 01:00:37.793,5k6DVoKN_lrNNR5LRRSmpX-m5pdNCgxG,goods_search_result/린넨블라우스,app_page_view,,
2019-09-22 01:00:38.258,U6uvgDZUQHYe-yWPjps9Mh1fx2-Hq_dB,category_search_result/원피스,app_page_view,,
2019-09-22 01:00:38.546,sUXr6d20wDGcJ-84Gtng7HBqe1u2oW-5,goods_search_result/치마바지,app_page_view,,
2019-09-22 01:00:38.872,HZfe8KiMFQTpmYQZcpwZ5j59Ws7rWLtZ,my_goods,app_page_view,,
2019-09-22 01:00:39.093,UM9VmujAWhJiJQ224mRVmO8gqIGs15qX,my_goods,app_page_view,,
2019-09-22 01:00:39.098,LoHTH0o9UCeSVnojgKmiARrik17nQKaZ,shops_ranking,app_page_view,,
2019-09-22 01:00:41.531,wxEOYnjHMpSx1VmmRm7yPOSC_K_fPbmI,shops_ranking,app_page_view,,
2019-09-22 01:00:41.933,Pnd57XayAdPWq5sF_5gNfUS7t8C1jwM_,category_search_result/상의,enter_browser,6441,43
2019-09-22 01:00:41.960,FdvjFZtiumkMqEYywtsT3L7YAcFaKl_f,my_goods,app_page_view,,
2019-09-22 01:00:42.006,HZfe8KiMFQTpmYQZcpwZ5j59Ws7rWLtZ,my_goods,enter_browser,1575,167
2019-09-22 01:00:42.681,PC8_d3Ni8ZRLFsDOGAWZF07THb-EoyK-,category_search_result/원피스,app_page_view,,
2019-09-22 01:00:42.805,LoHTH0o9UCeSVnojgKmiARrik17nQKaZ,goods_search_result/귀찌,app_page_view,,
2019-09-22 01:00:43.556,zCps4vsGh4h-bwwR1klbTvYK5MAmIvll,shops_bookmark,app_page_view,,
2019-09-22 01:00:43.560,vR55aPza43NdQ3TNZ-dQKB9LPqLalMki,shops_ranking,app_page_view,,
2019-09-22 01:00:43.660,fHupAanIvCiR0uU2cVE4LoPhaaG5fzFS,shops_bookmark,app_page_view,,
2019-09-22 01:00:44.415,6xnC0o72ViAkS9c6Ji_xHdsRvHG6bo0C,shops_ranking,app_page_view,,
2019-09-22 01:00:45.453,KCQyh87HSbfUUT-jZIGnKACJ9R3G39gB,goods_search_result/쉬폰나시,app_page_view,,
2019-09-22 01:00:45.864,-L2Awbp23c9b1o1R_do--BZEtPivAUua,goods_search_result/린넨,app_page_view,,
2019-09-22 01:00:46.197,Nb0rBwOjC3LRVab-HIfYRJrAx4X5v5QH,shops_bookmark,app_page_view,,
2019-09-22 01:00:47.517,y2ldO9-33mjtbPrczV5ZO3vSbD_hf3Es,goods_search_result/팬츠,enter_browser,4059,84
2019-09-22 01:00:47.852,FdvjFZtiumkMqEYywtsT3L7YAcFaKl_f,my_goods,enter_browser,721,94
2019-09-22 01:00:48.018,lhX1eOWdWRccNo2JGdGwy76TQU_RI6fe,my_goods,app_page_view,,
2019-09-22 01:00:48.081,LnZGvC39g_Qgs11cIL84Jp2w7wC_nktw,my_goods,enter_browser,5306,14
2019-09-22 01:00:49.953,iXgmErMywktEIb8HouKWjFSbHfNyb_NJ,shops_bookmark,app_page_view,,
